season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekdayt,is_weekend,temp_celsius,season_fall,season_spring,season_summer,season_winter,season_fall,season_spring,season_summer,season_winter,weathersit_encoded,season_fall,season_spring,season_summer,season_winter
winter,0,January,No,Saturday,0,Mist/Cloudy,0.344167,0.363625,0.805833,0.160446,331,654,985,6,True,14.110847,False,False,False,True,False,False,False,True,1,False,False,False,True
winter,0,January,No,Sunday,0,Mist/Cloudy,0.363478,0.353739,0.696087,0.248539,131,670,801,0,True,14.902598000000001,False,False,False,True,False,False,False,True,1,False,False,False,True
winter,0,January,No,Monday,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,1,False,8.050924,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Tuesday,1,Clear,0.2,0.212122,0.590435,0.160296,108,1454,1562,2,False,8.200000000000001,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Wednesday,1,Clear,0.226957,0.22927,0.436957,0.1869,82,1518,1600,3,False,9.305237,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Thursday,1,Clear,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,4,False,8.378268,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Friday,1,Mist/Cloudy,0.196522,0.208839,0.498696,0.168726,148,1362,1510,5,False,8.057402,False,False,False,True,False,False,False,True,1,False,False,False,True
winter,0,January,No,Saturday,0,Mist/Cloudy,0.165,0.162254,0.535833,0.266804,68,891,959,6,True,6.765000000000001,False,False,False,True,False,False,False,True,1,False,False,False,True
winter,0,January,No,Sunday,0,Clear,0.138333,0.116175,0.434167,0.190486211627907,54,768,822,0,True,5.671653,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Monday,1,Clear,0.150833,0.150888,0.482917,0.223267,41,1280,1321,1,False,6.184153,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Tuesday,1,Mist/Cloudy,0.169091,0.191464,0.686364,0.122132,43,1220,1263,2,False,6.9327309999999995,False,False,False,True,False,False,False,True,1,False,False,False,True
winter,0,January,No,Wednesday,1,Clear,0.172727,0.160473,0.599545,0.304627,25,1137,1162,3,False,7.0818069999999995,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Thursday,1,Clear,0.165,0.150883,0.470417,0.301,38,1368,1406,4,False,6.765000000000001,False,False,False,True,False,False,False,True,0,False,False,False,True
winter,0,January,No,Friday,1,Clear,0.16087,0.188413,0.537826,0.126548,54,1367,1421,5,False,6.59567,False,False,False,True,False,False,False,True,0,False,False,False,True
